date,regime
2025-01-15,-1
2025-01-16,-1
2025-01-17,-1
2025-01-20,-1
2025-01-21,-1
2025-01-22,-1
2025-01-23,-1
2025-01-24,-1
2025-01-27,-1
2025-01-28,-1
2025-01-29,-1
2025-01-30,-1
2025-01-31,-1
2025-02-03,-1
2025-02-04,-1
2025-02-05,-1
2025-02-06,-1
2025-02-07,-1
2025-02-10,-1
2025-02-11,-1
2025-02-12,-1
2025-02-13,-1
2025-02-14,-1
2025-02-17,-1
2025-02-18,-1
2025-02-19,-1
2025-02-20,-1
2025-02-21,-1
2025-02-24,-1
2025-02-25,-1
2025-02-27,-1
2025-02-28,-1
2025-03-03,-1
2025-03-04,-1
2025-03-05,-1
2025-03-06,-1
2025-03-07,-1
2025-03-10,-1
2025-03-11,-1
2025-03-12,-1
2025-03-13,-1
2025-03-17,-1
2025-03-18,-1
2025-03-19,-1
2025-03-20,-1
2025-03-21,-1
2025-03-24,-1
2025-03-25,-1
2025-03-26,-1
2025-03-27,-1
2025-03-28,-1
2025-04-01,-1
2025-04-02,-1
2025-04-03,-1
2025-04-04,-1
2025-04-07,-1
2025-04-08,-1
2025-04-09,1
2025-04-11,0
2025-04-15,1
2025-04-16,0
2025-04-17,1
2025-04-21,0
2025-04-22,1
2025-04-23,0
2025-04-24,1
2025-04-25,0
2025-04-28,1
2025-04-29,0
2025-04-30,1
2025-05-02,0
2025-05-05,1
2025-05-06,0
2025-05-07,1
2025-05-08,0
2025-05-09,1
2025-05-12,0
2025-05-13,1
2025-05-14,0
2025-05-15,1
2025-05-16,0
2025-05-19,1
2025-05-20,0
2025-05-21,1
2025-05-22,0
2025-05-23,1
2025-05-26,0
2025-05-27,1
2025-05-28,0
2025-05-29,1
2025-05-30,0
2025-06-02,1
2025-06-03,0
2025-06-04,1
2025-06-05,0
2025-06-06,1
2025-06-09,0
2025-06-10,1
2025-06-11,0
2025-06-12,1
2025-06-13,0
2025-06-16,1
2025-06-17,0
2025-06-18,1
2025-06-19,0
2025-06-20,1
2025-06-23,0
2025-06-24,1
2025-06-25,0
2025-06-26,1
2025-06-27,0
2025-06-30,1
2025-07-01,0
2025-07-02,1
2025-07-03,0
2025-07-04,1
2025-07-07,0
2025-07-08,1
2025-07-09,0
2025-07-10,1
2025-07-11,0
2025-07-14,1
2025-07-15,0
2025-07-16,1
2025-07-17,0
2025-07-18,1
2025-07-21,0
2025-07-22,1
2025-07-23,0
2025-07-24,1
2025-07-25,0
2025-07-28,1
2025-07-29,0
2025-07-30,1
2025-07-31,0
2025-08-01,1
2025-08-04,0
2025-08-05,1
2025-08-06,0
2025-08-07,1
2025-08-08,0
2025-08-11,1
2025-08-12,0
2025-08-13,1
2025-08-14,0
2025-08-18,1
2025-08-19,0
2025-08-20,1
2025-08-21,0
2025-08-22,1
2025-08-25,0
2025-08-26,1
2025-08-28,0
2025-08-29,1
2025-09-01,0
2025-09-02,1
2025-09-03,0
2025-09-04,1
2025-09-05,0
2025-09-08,1
2025-09-09,0
2025-09-10,1
2025-09-11,0
2025-09-12,1
2025-09-15,0
2025-09-16,1
2025-09-17,0
2025-09-18,1
2025-09-19,0
2025-09-22,1
2025-09-23,0
2025-09-24,1
2025-09-25,0
2025-09-26,1
2025-09-29,0
2025-09-30,1
2025-10-01,0
2025-10-03,1
2025-10-06,0
2025-10-07,1
2025-10-08,0
2025-10-09,1
2025-10-10,0
2025-10-13,1
2025-10-14,0
2025-10-15,1
2025-10-16,0
2025-10-17,1
2025-10-20,0
2025-10-21,1
2025-10-23,0
2025-10-24,1
2025-10-27,0
2025-10-28,1
2025-10-29,0
2025-10-30,1
2025-10-31,0
2025-11-03,1
2025-11-04,0
2025-11-06,1
2025-11-07,0
2025-11-10,1
2025-11-11,0
2025-11-12,1
2025-11-13,0
2025-11-14,1
2025-11-17,0
2025-11-18,1
2025-11-19,0
2025-11-20,1
2025-11-21,0
2025-11-24,1
2025-11-25,0
2025-11-26,1
2025-11-27,0
2025-11-28,1
2025-12-01,0
2025-12-02,1
2025-12-03,0
2025-12-04,1
2025-12-05,0
2025-12-08,1
2025-12-09,0
2025-12-10,1
2025-12-11,0
2025-12-12,1
2025-12-15,0
2025-12-16,1
2025-12-17,0
2025-12-18,1
2025-12-19,0
2025-12-22,1
2025-12-23,0
2025-12-24,1
2025-12-26,0
2025-12-29,1
2025-12-30,0
2025-12-31,1
2026-01-01,0
2026-01-02,1
2026-01-05,0
2026-01-06,1
2026-01-07,0
2026-01-08,1
2026-01-09,0
2026-01-12,1
2026-01-13,0
2026-01-14,1
